experiment,job,metric,metric_display,mean,std,num_seeds,complete
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.3755666316,0.0064694216,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6733333468,0.0036909608,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.6266000271,0.0043312819,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,flowers_test_accuracy,Flowers Lin.,0.3507625163,0.0415088423,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,flowersknn_knn_test_accuracy,Flowers kNN,0.3619016707,0.0067785513,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,imagenet100lt_test_accuracy,ImageNet-100-LT Lin.,0.4251900017,0.0122283669,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,imagenet100ltknn_knn_test_accuracy,ImageNet-100-LT kNN,0.4206297398,0.0098008979,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,pets_test_accuracy,Pets Lin.,0.3016304374,0.0163043439,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,petsknn_knn_test_accuracy,Pets kNN,0.2009630203,0.0095601315,3,True
ablations/architecture/vit_s,jobs/ablations/architecture/vit_s.sh,training_time,Training time (h),31.3665237427,6.0006260872,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,aircraft_test_accuracy,Aircraft Lin.,0.1718171835,0.0160069093,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,aircraftknn_knn_test_accuracy,Aircraft kNN,0.1041104123,0.0060006008,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,cars_test_accuracy,Cars Lin.,0.0920245349,0.0092636012,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,carsknn_knn_test_accuracy,Cars kNN,0.0480867624,0.0030281669,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,cifar100knn_knn_test_accuracy,CIFAR-100-LT kNN,0.3542666435,0.0031532918,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,cifar100r_test_accuracy,CIFAR-100-LT Lin.,0.4378333092,0.0058243736,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,cifar10knn_knn_test_accuracy,CIFAR-10-LT kNN,0.6642666459,0.0045346771,3,True
ablations/cycles/cycles_10,jobs/ablations/cycles/cycles_10.sh,cifar10r_test_accuracy,CIFAR-10-LT Lin.,0.7049999833,0.0117051313,3,True
